state,state_name,county,NAME,population_size,percent_65plus,count_65plus,CODE
47,Virginia,79,"Henry County, Tennessee",32269,20.95819517,6763,VA
48,Washington,31,"Blanco County, Texas",10723,20.95495664,2247,WA
51,Wyoming,45,"Craig County, Virginia",5212,20.95165004,1092,WY
6,Colorado,27,"Inyo County, California",18373,20.94921896,3849,CO
38,Oregon,43,"Kidder County, North Dakota",2430,20.94650206,509,OR
5,California,113,"Polk County, Arkansas",20364,20.94382243,4265,CA
19,Louisiana,197,"Wright County, Iowa",12936,20.93382808,2708,LA
26,Missouri,109,"Menominee County, Michigan",23717,20.9301345,4964,MO
37,Oklahoma,185,"Warren County, North Carolina",20468,20.92046121,4282,OK
19,Louisiana,71,"Fremont County, Iowa",7106,20.91190543,1486,LA
27,Montana,151,"Swift County, Minnesota",9525,20.90288714,1991,MT
37,Oklahoma,13,"Beaufort County, North Carolina",47561,20.90157902,9941,OK
38,Oregon,73,"Ransom County, North Dakota",5453,20.88758482,1139,OR
20,Maine,147,"Phillips County, Kansas",5501,20.88711143,1149,ME
20,Maine,95,"Kingman County, Kansas",7790,20.87291399,1626,ME
42,South Dakota,53,"Forest County, Pennsylvania",7581,20.86795937,1582,SD
16,Iowa,45,"Gem County, Idaho",16731,20.86545933,3491,IA
40,Rhode Island,53,"Grant County, Oklahoma",4517,20.85454948,942,RI
27,Montana,71,"Koochiching County, Minnesota",13054,20.85184618,2722,MT
13,Idaho,317,"Wilkes County, Georgia",9991,20.84876389,2083,ID
48,Washington,343,"Morris County, Texas",12700,20.84251969,2647,WA
30,New Hampshire,65,"Musselshell County, Montana",4790,20.83507307,998,NH
48,Washington,391,"Refugio County, Texas",7277,20.83276075,1516,WA
45,Utah,73,"Oconee County, South Carolina",74949,20.83016451,15612,UT
48,Washington,133,"Eastland County, Texas",18328,20.82060236,3816,WA
48,Washington,67,"Cass County, Texas",30328,20.80255869,6309,WA
38,Oregon,87,"Slope County, North Dakota",673,20.80237741,140,OR
13,Idaho,253,"Seminole County, Georgia",8769,20.80054738,1824,ID
19,Louisiana,173,"Taylor County, Iowa",6213,20.79510703,1292,LA
5,California,21,"Clay County, Arkansas",15400,20.78571429,3201,CA
19,Louisiana,5,"Allamakee County, Iowa",14060,20.78236131,2922,LA
30,New Hampshire,71,"Phillips County, Montana",4167,20.78233741,866,NH
31,New Jersey,183,"Wheeler County, Nebraska",847,20.77922078,176,NJ
20,Maine,105,"Lincoln County, Kansas",3154,20.76727964,655,ME
21,Maryland,221,"Trigg County, Kentucky",14250,20.75087719,2957,MD
37,Oklahoma,103,"Jones County, North Carolina",10166,20.74562266,2109,OK
26,Missouri,29,"Charlevoix County, Michigan",26134,20.74309329,5421,MO
47,Virginia,127,"Moore County, Tennessee",6351,20.73689183,1317,VA
8,Delaware,71,"Las Animas County, Colorado",14503,20.72674619,3006,DE
5,California,15,"Carroll County, Arkansas",27635,20.72371992,5727,CA
31,New Jersey,41,"Custer County, Nebraska",10802,20.71838548,2238,NJ
16,Iowa,15,"Boise County, Idaho",6885,20.71169208,1426,IA
19,Louisiana,137,"Montgomery County, Iowa",10465,20.70711897,2167,LA
27,Montana,127,"Redwood County, Minnesota",15723,20.70215608,3255,MT
38,Oregon,99,"Walsh County, North Dakota",11005,20.69968196,2278,OR
48,Washington,119,"Delta County, Texas",5223,20.69691748,1081,WA
23,Michigan,3,"Aroostook County, Maine",70005,20.6956646,14488,MI
50,Wisconsin,3,"Bennington County, Vermont",36589,20.68381207,7568,WI
54,Wyoming,25,"Greenbrier County, West Virginia",35666,20.68356418,7377,WY
38,Oregon,65,"Oliver County, North Dakota",1819,20.67069819,376,OR
48,Washington,307,"McCulloch County, Texas",8273,20.66964825,1710,WA
46,Vermont,123,"Tripp County, South Dakota",5504,20.65770349,1137,VT
26,Missouri,105,"Mason County, Michigan",28711,20.6541047,5930,MO
21,Maryland,157,"Marshall County, Kentucky",31181,20.64077483,6436,MD
13,Idaho,123,"Gilmer County, Georgia",28673,20.63962613,5918,ID
40,Rhode Island,45,"Ellis County, Oklahoma",4121,20.62606164,850,RI
47,Virginia,71,"Hardin County, Tennessee",25900,20.62162162,5341,VA
13,Idaho,237,"Putnam County, Georgia",21247,20.61938156,4381,ID
54,Wyoming,89,"Summers County, West Virginia",13544,20.61429415,2792,WY
19,Louisiana,23,"Butler County, Iowa",14966,20.61339035,3085,LA
48,Washington,399,"Runnels County, Texas",10445,20.61273337,2153,WA
19,Louisiana,67,"Floyd County, Iowa",16050,20.60436137,3307,LA
26,Missouri,41,"Delta County, Michigan",36712,20.60089344,7563,MO
